section,topic,question,evidence_class,test_status,severity,conclusion,evidence,artifact,missing_data
1,Thesis,Economic rationale independent of backtest,HYPOTHESIS,OPEN,MEDIUM,The three-factor rationale is economically coherent but is not itself empirical proof of alpha.,"{'Revenue Growth': 'Firms with stronger current revenue growth may contain information about business momentum not fully reflected immediately in relative prices.', 'Sales Yield': 'Higher revenue relative to market capitalization is a valuation signal; if revenue is economically durable, cheaper sales can imply higher prospective relative returns.', 'Trend': 'Price trends can persist because information diffusion, underreaction, flows and behavioral frictions are gradual rather than instantaneous.', 'combination': 'Growth, valuation and trend are intended to be partially complementary; no single factor needs to dominate in every regime.'}",EXTREME_AUDIT_REPORT.md,
2,Leakage,Systemic future-data use,FAVORABLE_EVIDENCE,PASS_WITH_OPEN_VULNERABILITIES,CRITICAL,"No systemic look-ahead has been found in the tested factor/risk/optimizer path, but vintage and exact execution timing remain open.","{'PASS': 6, 'PASS WITH LIMITATIONS': 5, 'UNVERIFIED': 4}",extreme_data_leakage.csv,
3,PIT,Can exact historical information set be reconstructed?,FAVORABLE_EVIDENCE,PASS_WITH_LIMITATIONS,CRITICAL,"Fundamental filing dates, current-date ranks and trailing prices are reconstructable at daily resolution; exact intraday/vintage state is not fully certified.","{'PASS': 4, 'PASS WITH LIMITATIONS': 4, 'UNVERIFIED': 1}",data/audit_v10_4/pit_audit.csv,intraday timestamps; independent vintage database snapshots
4,Survivorship,Survivorship-free champion replay,PENDING_DATA,UNRESOLVED,CRITICAL,Cannot certify the headline alpha as survivorship-free yet.,"['A formal pre-V10 survivorship/PIT gate was executed and persisted.', 'Delisted-price acquisition attempts are auditable from a persisted manifest.']",data/audit_v10_4/survivorship_status.json,Point-in-time monthly universe membership including delisted names for the full backtest window; Historical prices covering the investment horizon for factor-eligible delisted securities; Point-in-time Revenue Growth and Sales Yield inputs for those delisted securities; Historical shares outstanding/filing availability dates needed for PIT market cap
5,Overfitting,Complete multiple-testing / false-discovery control,PENDING_DATA,PERSISTED_TRIAL_LOWER_BOUND_ONLY,CRITICAL,Recovered DSR/PBO are lower-bound diagnostics only until the historical research-trial inventory is certified complete.,persisted paths=446,false_discovery_audit.json,complete manual trial history
6,OOS,True untouched holdout,UNKNOWN,UNVERIFIED_TRUE_NEVER_TOUCHED_HOLDOUT,CRITICAL,Existing OOS/walk-forward evidence does not by itself prove a never-touched holdout after final freeze.,"{'market_oos_summary': False, 'fundamental_walk_forward': False, 'v10_profile_freeze': True, 'v11_challenger': False}",oos_audit.json,immutable pre-holdout freeze evidence
7,Rolling,Rolling-window consistency with dependence acknowledged,FAVORABLE_EVIDENCE,DESCRIPTIVE_DEPENDENCE_ADJUSTED,MEDIUM,Rolling evidence is useful but overlapping windows are not independent tests.,"{'24': {'overlapping_windows': 127, 'overlapping_outperform_share': 0.968503937007874, 'worst_overlapping_spread': -0.061402052327311996, 'nonoverlap_window_instances_across_offsets': 67, 'nonoverlap_outperform_share': 0.9552238805970149, 'warning': 'Overlapping rolling windows are strongly dependent; their count is not a count of independent experiments.'}, '36': {'overlapping_windows': 115, 'overlapping_outperform_share': 1.0, 'worst_overlapping_spread': 0.014240882524918286, 'nonoverlap_window_instances_across_offsets': 43, 'nonoverlap_outperform_share': 1.0, 'warning': 'Overlapping rolling windows are strongly dependent; their count is not a count of independent experiments.'}, '48': {'overlapping_windows': 103, 'overlapping_outperform_share': 1.0, 'worst_overlapping_spread': 0.04111746969709551, 'nonoverlap_window_instances_across_offsets': 31, 'nonoverlap_outperform_share': 1.0, 'warning': 'Overlapping rolling windows are strongly dependent; their count is not a count of independent experiments.'}, '60': {'overlapping_windows': 91, 'overlapping_outperform_share': 1.0, 'worst_overlapping_spread': 0.05964319519063199, 'nonoverlap_window_instances_across_offsets': 24, 'nonoverlap_outperform_share': 1.0, 'warning': 'Overlapping rolling windows are strongly dependent; their count is not a count of independent experiments.'}}",rolling_window_audit.json,
8,Performance,Completed-month benchmark-relative performance,FAVORABLE_EVIDENCE,COMPUTED,MEDIUM,"Completed-month CAGR 25.12% vs SPY 13.89%; strong historically, not proof of future alpha.","{'months': 151, 'cagr': 0.25120819657807125, 'spy_cagr': 0.1388961367317143, 'cagr_spread_vs_spy': 0.11231205984635695, 'annualized_arithmetic_return': 0.24453914846072264, 'annualized_volatility': 0.1933900076539617, 'sharpe': 1.1890840277042916, 'sharpe_basis': 'KENNETH_FRENCH_MONTHLY_RF', 'sortino_rf0': 1.3459532136996861, 'max_drawdown': -0.20468786476134004, 'calmar': 1.227274498519844, 'beta_vs_spy': 0.9523237905470291, 'correlation_vs_spy': 0.7144510646465334, 'tracking_error': 0.13576939810220004, 'information_ratio': 0.7403352745465306, 'upside_capture': 1.182454987045632, 'downside_capture': 0.6239689458454432, 'recovery_months_from_worst_trough': 5, 'positive_month_share': 0.6754966887417219, 'months_beating_spy_share': 0.5866666666666667, 'best_month': 0.1901626552419456, 'worst_month': -0.1828752672558496}",data/audit_v10_4/completed_month_performance.csv,
9,Factor attribution,Ablations and combinations,FAVORABLE_EVIDENCE,SENSITIVITY_ONLY_NO_RETUNING,MEDIUM,"Factor ablations are sensitivity evidence, not causal decomposition.",rows=7,factor_ablation_sensitivity.csv,
10,FF+Momentum,Alpha after standard factor controls,FAVORABLE_EVIDENCE,COMPUTED,HIGH,A positive factor-adjusted alpha can reject some simple explanations; it cannot establish causality or eliminate data-mining bias.,"[{'strategy': 'FINAL_OPTIMIZER', 'sample': 'FULL', 'model': 'CAPM', 'months': 149, 'alpha_ann': 0.11474846264766678, 'alpha_hac_t': 3.380250677222189, 'p_value_normal_approx': 0.00072419746157355, 'residual_vol_ann': 0.1325966680241843, 'r2': 0.534019554476072}, {'strategy': 'FINAL_OPTIMIZER', 'sample': 'FULL', 'model': 'FF3', 'months': 149, 'alpha_ann': 0.1164534957322706, 'alpha_hac_t': 3.4732800722498416, 'p_value_normal_approx': 0.0005141385364273863, 'residual_vol_ann': 0.13209535953326318, 'r2': 0.5375363603130439}, {'strategy': 'FINAL_OPTIMIZER', 'sample': 'FULL', 'model': 'FF5', 'months': 149, 'alpha_ann': 0.1154626115251853, 'alpha_hac_t': 3.4865918101622433, 'p_value_normal_approx': 0.0004892174304963918, 'residual_vol_ann': 0.13099825757730071, 'r2': 0.5451863310083032}, {'strategy': 'FINAL_OPTIMIZER', 'sample': 'FULL', 'model': 'FF5_MOM', 'months': 149, 'alpha_ann': 0.10633942828329632, 'alpha_hac_t': 3.1932698508544286, 'p_value_normal_approx': 0.0014067142206679244, 'residual_vol_ann': 0.12989323371646552, 'r2': 0.552827046724985}]",multifactor_alpha_extreme.csv,
11,Costs,Implementation cost sensitivity,FAVORABLE_EVIDENCE,SENSITIVITY_ONLY,HIGH,Constant-cost break-even estimate is 255.23 one-way bps; security-specific impact remains unmodeled.,"{'status': 'SENSITIVITY_ONLY', 'baseline_one_way_cost_bps': 0.5, 'break_even_one_way_cost_bps_vs_spy': 255.22766622900758, 'note': 'Historical backtest cost model uses period turnover and a constant one-way friction; it does not model security-specific spreads or market impact.'}",transaction_cost_stress_extreme.csv,
12,Capacity,AUM/CEDEAR scalability,PENDING_DATA,PENDING_DATA,CRITICAL_FOR_LOCAL_PRODUCT,US underlying liquidity cannot certify CEDEAR capacity.,"{'status': 'PENDING_DATA', 'underlying_capacity_proxy': 'UNAVAILABLE_NO_VOLUME', 'cedear_capacity': 'UNVERIFIED', 'missing_data': ['historical underlying volume', 'historical BYMA CEDEAR price/volume/order-book spreads', 'broker participation/impact assumptions']}",capacity_audit.json,historical BYMA CEDEAR volume/spreads/market impact
13,Optimizer,"Separate factor, optimizer and execution value",FAVORABLE_EVIDENCE,DESCRIPTIVE_HISTORICAL_STRATEGY_COMPARISON,MEDIUM,Persisted strategy variants can compare theoretical weighting layers; historical discrete CEDEAR transformation remains unverified.,"['FINAL_OPTIMIZER', 'FULL_ALPHA_CONVICTION', 'FULL_ALPHA_EQUAL', 'FULL_ALPHA_RISK', 'RG_ONLY', 'RG_SY_EQUAL', 'SY_ONLY', 'TREND_ONLY']",optimizer_layer_comparison.csv,
14,Robustness,Zone around exact V10.4,FAVORABLE_EVIDENCE,SENSITIVITY_ONLY_NO_RETUNING,HIGH,Predeclared nearby variants are reported without selecting a winner; collapse around the base would be a warning.,zone rows=12,parameter_neighborhood_sensitivity.csv,
15,Regimes,Performance by market/macro regime,FAVORABLE_EVIDENCE,RECOVERED_V10_3,MEDIUM,Market/volatility regimes can be tested; macro rate/inflation regimes require PIT macro data if absent.,"{'status': 'RECOVERED_V10_3', 'rows': 4, 'macro_regimes': 'ONLY_IF_PRESENT_IN_ARTIFACT'}",regime_analysis.csv,
16,Drawdowns,Peak/trough/recovery audit,DEMONSTRATED,COMPUTED,MEDIUM,Explicit episode table prevents ambiguous recovery claims.,"{'status': 'COMPUTED', 'alpha_engine': {'episodes': 26, 'worst_drawdown': -0.20468786476134004, 'worst_trough': '2022-06-30 00:00:00', 'worst_recovery': '2022-11-30 00:00:00', 'average_trough_to_recovery_months': 2.0}, 'spy': {'episodes': 23, 'worst_drawdown': -0.23927182389219837, 'worst_trough': '2022-09-30 00:00:00', 'worst_recovery': '2023-12-29 00:00:00', 'average_trough_to_recovery_months': 2.4347826086956523}}",drawdown_episodes.csv,
17,Decision history,Third-party reproducibility of every decision,PENDING_DATA,PASS_WITH_LIMITATIONS,HIGH,Monthly research decisions are largely reconstructable; some execution/optimizer rationale fields are not persisted.,"{'status': 'PASS_WITH_LIMITATIONS', 'present_fields': 11, 'total_fields': 16, 'missing_fields': ['intraday_signal_timestamp', 'intraday_execution_timestamp', 'per_trade_realized_cost', 'optimizer_marginal_reason_per_asset', 'discarded_alternative_reason_per_asset']}",decision_history_completeness.csv,intraday_signal_timestamp; intraday_execution_timestamp; per_trade_realized_cost; optimizer_marginal_reason_per_asset; discarded_alternative_reason_per_asset
18,Why buy,Current recommendation explainability,FAVORABLE_EVIDENCE,CURRENT_STATE_DIAGNOSTIC,HIGH,"Current names must be justified from current factors/risk/optimizer, never from historical subsequent returns.","{'status': 'CURRENT_STATE_DIAGNOSTIC', 'requested_names': 15, 'found': 15, 'missing_names': []}",current_decisions_audit.csv,
19,Individual decisions,GOOGL/AVGO/NVDA/... methodology coherence,FAVORABLE_EVIDENCE,CURRENT_STATE_DIAGNOSTIC,MEDIUM,The audit inventories current runtime records; any absent factor/optimizer rationale is explicitly left unverified.,"{'status': 'CURRENT_STATE_DIAGNOSTIC', 'requested_names': 15, 'found': 15, 'missing_names': []}",current_decisions_audit.csv,
20,Portfolio vs target,Discrete implementation vs continuous target,FAVORABLE_EVIDENCE,CURRENT_STATE_DIAGNOSTIC,HIGH,"Current integer implementation can be inspected, but historical nominal-rounding alpha loss is not yet a certified backtest.","{'status': 'CURRENT_STATE_DIAGNOSTIC', 'portfolio_value_ars': 492250.0, 'cash_ars': 0.0, 'cash_pct': 0.13921787709497208, 'discrete_holdings': 13, 'discrete_turnover_ars': 763770.0, 'solver': 'SCIPY_MILP_LEXICOGRAPHIC', 'objective_primary': 0.2294081225640572, 'note': 'The current integer/CEDEAR implementation is audited separately from the continuous historical research backtest. Historical alpha loss from nominal rounding cannot be claimed without a historical discrete replay.'}",current_portfolio_vs_target.json,
21,PIT + survivorship,Joint evidentiary strength,PENDING_DATA,PROMISING_INCOMPLETE,CRITICAL,Passing PIT does not neutralize unresolved survivorship; headline performance remains conditional on that data limitation.,"{'status': 'UNRESOLVED', 'what_is_proven': ['A formal pre-V10 survivorship/PIT gate was executed and persisted.', 'Delisted-price acquisition attempts are auditable from a persisted manifest.'], 'what_is_not_proven': ['A complete survivorship-free V10.4 champion backtest has not been certified by the frozen research decision.'], 'minimum_dataset_to_close': ['Point-in-time monthly universe membership including delisted names for the full backtest window', 'Historical prices covering the investment horizon for factor-eligible delisted securities', 'Point-in-time Revenue Growth and Sales Yield inputs for those delisted securities', 'Historical shares outstanding/filing availability dates needed for PIT market cap'], 'research_closure_gates': [{'name': 'SEC_MAPPING', 'status': 'PASS', 'detail': 'lifecycle mapped=46.5%'}, {'name': 'REVENUE_GROWTH_PIT_COVERAGE', 'status': 'PASS', 'detail': 'median usable=58.3%'}, {'name': 'SALES_YIELD_PIT_COVERAGE', 'status': 'FAIL', 'detail': 'median usable=3.3%'}, {'name': 'DELISTED_PRICE_COVERAGE', 'status': 'FAIL', 'detail': 'eligible delisted=285/1,837 (15.5%)'}, {'name': 'MODEL_RESEARCH_CLOSURE', 'status': 'FAIL', 'detail': 'Automatic aggregation of data-integrity and locked-alpha gates.'}], 'delisted_attempted': 1837, 'delisted_with_usable_rows': 285}",survivorship_status.json,
22,False discovery,Chance result after model search,PENDING_DATA,INSUFFICIENT_ALIGNED_TRIAL_MATRIX,CRITICAL,No exact false-discovery probability can be claimed without complete research-trial history.,"{'status': 'INSUFFICIENT_ALIGNED_TRIAL_MATRIX', 'strategies': 0}",false_discovery_audit.json,
23,Red team,10 ways model could be false,DEMONSTRATED,GENERATED,CRITICAL,See adversarial risk register; unresolved items are not softened.,10 explicit failure hypotheses,red_team_10_reasons.csv,
24,PM skeptical,30 institutional questions,DEMONSTRATED,GENERATED,MEDIUM,Answers are constrained to available evidence; missing evidence is stated.,30 Q&A,PM_30_QUESTIONS.md,
25,Quant recruiter,Technical project quality,HYPOTHESIS,ASSESSMENT,LOW,Technical quality and investment validity are separate; project can show research engineering skill even before strategy validation is closed.,institutional_readiness.json,institutional_readiness.json,
26,Institutional audience,What would institutions require?,HYPOTHESIS,ASSESSMENT,LOW,"Governance, capacity, compliance and independent track record requirements differ by institution.",institutional_readiness.json,institutional_readiness.json,
27,Economic value,Value today/1y/3y/5y,HYPOTHESIS,FRAMEWORK_ONLY,LOW,No arbitrary valuation is produced; value grows mainly with independently auditable forward/live evidence and operational IP.,economic_value framework,institutional_readiness.json,
28,Forward test,Definitive protocol,HYPOTHESIS,PREDECLARED_GOVERNANCE,CRITICAL,"Frozen hash, decision logging, cost inclusion and benchmark rules are predeclared before future returns.","{'status': 'PROPOSED_GOVERNANCE_RULE_NOT_EMPIRICAL_FACT', 'immutable_during_test': ['factor definitions', 'factor weights', 'candidate fraction', 'risk lookback', 'optimizer objective/penalties', 'rebalance cadence', 'execution convention used for scoring', 'benchmark set', 'cost-accounting rule'], 'may_change_without_invalidating_model_test': ['UI', 'logging', 'data transport', 'bug fixes that do not alter historical/current decisions and are versioned', 'additional diagnostics that do not feed decisions'], 'log_each_decision': ['UTC timestamp', 'data cutoff', 'factor inputs and filing timestamps', 'score/rank', 'risk inputs', 'previous weights', 'continuous target', 'discrete/local target', 'orders/fills', 'costs/slippage', 'cash', 'benchmark prices', 'model hash'], 'benchmarks': ['SPY primary', 'RSP', 'QQQ', 'cash/T-bill RF', 'optional sector diagnostic benchmark'], 'monthly_metrics': ['net return', 'active return', 'tracking error', 'IC', 'turnover', 'costs', 'slippage', 'coverage', 'concentration', 'drawdown'], 'quarterly_metrics': ['CAGR-to-date', 'IR', 'Sharpe/Sortino', 'factor alpha regressions with caveat on low n', 'regime breakdown', 'implementation shortfall', 'attribution by ticker/factor'], '2029_reasonable_evidence_rule': {'minimum_forward_months': 36, 'model_hash_unchanged': True, 'net_of_all_realized_costs': True, 'primary_active_cagr_gt_0': True, 'information_ratio_target': '>=0.50 is favorable; <0 is failure evidence', 'full_alpha_rank_ic_mean': '>0 and positive in >=55% of forward months is favorable', 'ff5_mom_alpha': '>0; HAC t-stat >=1.5 encouraging and >=2.0 materially stronger, recognizing 36 months is a short sample', 'drawdown': 'must remain within the predeclared risk mandate; no ex-post threshold change', 'benchmark_robustness': 'positive active evidence vs SPY plus at least one of RSP/QQQ over the same period', 'failure_rule': 'If 36-month net active CAGR <=0 and mean forward IC <=0, the alpha hypothesis has failed its first serious forward hurdle. Continue observation only as research; do not retune and relabel the same test.'}}",forward_test_protocol.json,
29,2029 rule,Concrete evidence threshold,HYPOTHESIS,PROPOSED_THRESHOLD,HIGH,Concrete governance thresholds are proposed; they are not universal statistical laws and must not be moved ex post.,"{'minimum_forward_months': 36, 'model_hash_unchanged': True, 'net_of_all_realized_costs': True, 'primary_active_cagr_gt_0': True, 'information_ratio_target': '>=0.50 is favorable; <0 is failure evidence', 'full_alpha_rank_ic_mean': '>0 and positive in >=55% of forward months is favorable', 'ff5_mom_alpha': '>0; HAC t-stat >=1.5 encouraging and >=2.0 materially stronger, recognizing 36 months is a short sample', 'drawdown': 'must remain within the predeclared risk mandate; no ex-post threshold change', 'benchmark_robustness': 'positive active evidence vs SPY plus at least one of RSP/QQQ over the same period', 'failure_rule': 'If 36-month net active CAGR <=0 and mean forward IC <=0, the alpha hypothesis has failed its first serious forward hurdle. Continue observation only as research; do not retune and relabel the same test.'}",forward_test_protocol.json,
30,Final verdict,Global category,UNKNOWN,DERIVED_AFTER_GO_NO_GO,CRITICAL,Final category is capped by unresolved critical blockers and forward-test maturity.,See FINAL_VERDICT.json,FINAL_VERDICT.json,
