ticker,found_in_latest_runtime,sources,action,alpha_score,risk_score,target_weight,delta_nominals,sector,methodology_coherence,contradiction_flag,note
GOOGL,True,root.details.coordinated_trade_plan.trades[11] | root.details.coordinated_trade_plan.implementation[1] | root.details.discrete_execution_plan.trades[14] | root.details.discrete_execution_plan.rounding_decisions[9] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[6] | root.details.discrete_execution_plan.execution_validations.GOOGL,EXIT,,,,-21,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
AVGO,True,root.details.coordinated_trade_plan.trades[3] | root.details.coordinated_trade_plan.implementation[0] | root.details.discrete_execution_plan.trades[13] | root.details.discrete_execution_plan.rounding_decisions[3] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[12] | root.details.discrete_execution_plan.execution_validations.AVGO,EXIT,,,,-11,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
NVDA,True,root.details.opportunity_book[1] | root.details.coordinated_trade_plan.trades[22] | root.details.coordinated_trade_plan.implementation[2] | root.details.discrete_execution_plan.trades[1] | root.details.discrete_execution_plan.rounding_decisions[19] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[7] | root.details.discrete_execution_plan.execution_validations.NVDA,TRIM,64.49709670082203,58.97435897435898,0.15707438634527432,-4,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
SONY,True,root.details.opportunity_book[4] | root.details.coordinated_trade_plan.trades[29] | root.details.discrete_execution_plan.trades[4] | root.details.discrete_execution_plan.rounding_decisions[24] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[1] | root.details.discrete_execution_plan.execution_validations.SONY,ADD,76.3214851658236,34.24908424908424,0.07305727816097327,8,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
CEPU,True,root.details.opportunity_book[14] | root.details.coordinated_trade_plan.trades[5] | root.details.discrete_execution_plan.trades[8] | root.details.discrete_execution_plan.rounding_decisions[4] | root.details.discrete_execution_plan.cash_deployment_audit.best_plus_one | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[0] | root.details.discrete_execution_plan.execution_validations.CEPU,ADD,75.17426374250209,68.13186813186812,0.016295379558929693,5,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
PBR,True,root.details.opportunity_book[0] | root.details.coordinated_trade_plan.trades[24] | root.details.discrete_execution_plan.trades[0] | root.details.discrete_execution_plan.rounding_decisions[21] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[14] | root.details.discrete_execution_plan.execution_validations.PBR,ADD,85.35923275455328,62.82051282051282,0.19990919789837472,3,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
UNH,True,root.details.opportunity_book[3] | root.details.coordinated_trade_plan.trades[32] | root.details.discrete_execution_plan.trades[2] | root.details.discrete_execution_plan.rounding_decisions[27] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[13] | root.details.discrete_execution_plan.execution_validations.UNH,ADD,78.68615608452181,18.13186813186813,0.1025620926917439,3,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
NVO,True,root.details.opportunity_book[5] | root.details.coordinated_trade_plan.trades[23] | root.details.discrete_execution_plan.trades[5] | root.details.discrete_execution_plan.rounding_decisions[20] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[8] | root.details.discrete_execution_plan.execution_validations.NVO | root.details.discrete_execution_plan.execution_universe.manual_ratio_overrides.NVO | root.details.discrete_execution_plan.execution_universe.resolutions.NVO.ratio_override,ADD,74.14569317325244,44.32234432234432,0.04520159305386256,3,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
MA,True,root.details.opportunity_book[2] | root.details.coordinated_trade_plan.trades[13] | root.details.discrete_execution_plan.trades[3] | root.details.discrete_execution_plan.rounding_decisions[11] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[3] | root.details.discrete_execution_plan.execution_validations.MA,ADD,79.64968673693234,12.454212454212454,0.13309993421319946,2,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
NU,True,root.details.opportunity_book[16] | root.details.coordinated_trade_plan.trades[20] | root.details.discrete_execution_plan.trades[6] | root.details.discrete_execution_plan.rounding_decisions[17] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[11] | root.details.discrete_execution_plan.execution_validations.NU | root.details.discrete_execution_plan.execution_universe.manual_ratio_overrides.NU | root.details.discrete_execution_plan.execution_universe.resolutions.NU.ratio_override,ADD,73.02941270458908,65.01831501831502,0.011896144126132846,1,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
JD,True,root.details.opportunity_book[6] | root.details.coordinated_trade_plan.trades[12] | root.details.discrete_execution_plan.trades[7] | root.details.discrete_execution_plan.rounding_decisions[10] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[4] | root.details.discrete_execution_plan.execution_validations.JD,ADD,72.18613070767566,54.02930402930403,0.029134852811051253,1,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
TGT,True,root.details.opportunity_book[7] | root.details.coordinated_trade_plan.trades[31] | root.details.discrete_execution_plan.trades[9] | root.details.discrete_execution_plan.rounding_decisions[26] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[10] | root.details.discrete_execution_plan.execution_validations.TGT,ADD,67.70311345705956,32.234432234432234,0.026514830039204802,1,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
ANET,True,root.details.coordinated_trade_plan.trades[2] | root.details.discrete_execution_plan.trades[10] | root.details.discrete_execution_plan.rounding_decisions[2] | root.details.discrete_execution_plan.cash_deployment_audit.all_affordable_plus_one[9] | root.details.discrete_execution_plan.execution_validations.ANET | root.details.discrete_execution_plan.execution_universe.manual_ratio_overrides.ANET | root.details.discrete_execution_plan.execution_universe.resolutions.ANET.ratio_override,HOLD,,,,1,,CHECKABLE,UNVERIFIED,A name is not judged by subsequent realized performance in this audit; coherence is about current frozen inputs and optimizer state.
