component,test,status,evidence,vulnerability
Revenue Growth,revenue,PASS,"Checked 14,750 rows: filed <= asof; violations=0.",
Sales Yield,revenue,PASS,"Checked 14,750 rows: filed <= asof; violations=0.",
Sales Yield,shares_outstanding,PASS,"Checked 23,870 rows: filed <= asof; violations=0.",
Sales Yield,market_cap_pit,PASS WITH LIMITATIONS,PIT feature builder defines market cap as price known at t × latest shares outstanding filed by t.,"Daily date is known, but exact intraday execution time is not persisted; same-close tradability remains unverified."
Trend,historical prices,PASS WITH LIMITATIONS,Frozen V10 code slices each ticker price series with s.loc[:asof]; no future price is an input to Trend.,"If execution is assumed at the same close used by the signal, exact decision/execution timestamp is not persisted."
Risk,126-session trailing returns / covariance,PASS WITH LIMITATIONS,trailing_returns_matrix filters OHLCV date <= asof and uses only the trailing window before optimization.,Same-close execution timing is not timestamp-certified.
Portfolio construction,"candidate scores, covariance, previous weights",PASS,"Frozen optimizer receives current candidate scores, trailing covariance inputs and previous weights; forward returns are used only after weights are determined to score the backtest.",
Rebalance timing,signal/decision/execution sequence,UNVERIFIED,Backtest maps score date to the last market month-end <= asof and measures the next monthly return.,The research artifacts do not persist exact intraday signal timestamp versus execution price. Same-close execution therefore cannot be certified.
Universe,historical lifecycle membership,PASS WITH LIMITATIONS,Historical lifecycle and PIT-with-delisted artifacts are present.,V10.4's published champion was still frozen with the survivorship limitation disclosed; presence of later artifacts alone does not retroactively certify the original backtest.
Cross-sectional normalization,Percentiles/winsorization are computed within each asof cross-section,PASS,Frozen code groups factor values by asof before percentile transformation.,Would fail if any global/full-sample normalization were used before grouping.
Forward return separation,Forward returns are consumed only after target weights are determined,PASS,"Frozen backtest constructs weights from current score/trailing returns, then multiplies by next-month rr to score performance.",
Restatement/vintage integrity,"Fundamental values reflect the exact historical vintage as originally known, not a later restatement attached to an old filing date",UNVERIFIED,"filed<=asof is tested, but the available artifacts do not independently prove a vintage-by-vintage database snapshot for every SEC fact.",A later corrected/restated fact could in principle be attached to a historical filing timeline unless source-vintage provenance is retained.
Intraday availability/execution,Signal timestamp precedes execution timestamp,UNVERIFIED,Daily asof dates are persisted; exact intraday signal and fill timestamps are not in the research artifacts.,Same-close execution cannot be certified. Execution-lag stress is therefore mandatory.
CEDEAR execution layer,Historical CEDEAR ratios/local fills cannot contaminate the research alpha backtest,PASS WITH LIMITATIONS,V10.4 research return path is continuous-weight on underlying market prices; CEDEAR ratios and integer nominal execution belong to the later live execution layer.,This does not validate the live local implementation or historical CEDEAR capacity.
Historical universe lifecycle,Universe membership itself is PIT and includes names that later disappear,UNVERIFIED,"Lifecycle/delisted artifacts may exist, but the frozen champion has not been re-certified as a complete survivorship-free replay.",This is the largest unresolved data-quality issue.
